major_category,mid_category,unique_docs,total_assignments
"#it개발·데이터","백엔드/서버개발",32,32
"#it개발·데이터","데이터 사이언티스트",13,13
"#it개발·데이터","프론트엔드",21,21
"#it개발·데이터","웹개발",32,32
"#it개발·데이터","기타",140,140
"#it개발·데이터","SI개발",5,5
"#it개발·데이터","앱개발",14,14
"#it개발·데이터","SE(시스템엔지니어)",11,11
"#it개발·데이터","BI 엔지니어",51,51
"#it개발·데이터","보안관제",11,11
"#it개발·데이터","IT컨설팅",7,7
"#it개발·데이터","정보보안",20,20
"#it개발·데이터","데이터엔지니어",21,21
"#it개발·데이터","데이터분석가",13,13
"#it개발·데이터","유지보수",14,14
"#it개발·데이터","기술지원",7,7
"#it개발·데이터","보안컨설팅",10,10
"#it개발·데이터","QA/테스터",3,3
"#it개발·데이터","퍼블리셔",2,2
"#it개발·데이터","DBA",2,2
"#it개발·데이터","ICT컨설팅",3,3
"#it개발·데이터","개발PM",2,2
"#it개발·데이터","FAE",1,1
"#it개발·데이터","웹마스터",1,1
"#건설·건축","공무",14,14
"#건설·건축","설계엔지니어",25,25
"#건설·건축","기타",22,22
"#건설·건축","토목설계",9,9
"#건설·건축","QC",27,27
"#건설·건축","QA",28,28
"#건설·건축","목공",7,7
"#건설·건축","현장기사",3,3
"#건설·건축","시공기사",2,2
"#건설·건축","토목기술자",10,10
"#건설·건축","안전관리자",17,17
"#건설·건축","건축기사",4,4
"#건설·건축","기계기사",5,5
"#건설·건축","전기설계",10,10
"#건설·건축","통신설계",2,2
"#건설·건축","토양환경기사",4,4
"#건설·건축","수질환경기사",4,4
"#건설·건축","대기환경기사",7,7
"#건설·건축","2D설계",4,4
"#건설·건축","3D설계",12,12
"#건설·건축","전기기사",7,7
"#건설·건축","분양상담사",2,2
"#건설·건축","공조냉동기사",3,3
"#건설·건축","도시설계",2,2
"#건설·건축","배관설계",2,2
"#건설·건축","환경관리자",6,6
"#건설·건축","보일러기사",2,2
"#건설·건축","설계보조",1,1
"#건설·건축","건축구조설계",2,2
"#건설·건축","건설경리",1,1
"#건설·건축","지역개발컨설팅",1,1
"#건설·건축","감리원",3,3
"#건설·건축","CM(건설사업관리)",3,3
"#건설·건축","현장관리자",2,2
"#건설·건축","조경설계",1,1
"#건설·건축","다기능공",1,1
"#건설·건축","시공관리자",1,1
"#건설·건축","환경설계",1,1
"#건설·건축","안전보건관리자",11,11
"#건설·건축","보건관리자",12,12
"#건설·건축","산림설계",1,1
"#건설·건축","전산/기술직",2,2
"#건설·건축","폐기물처리기사",1,1
"#건설·건축","가스기능사",1,1
"#건설·건축","건축가",1,1
"#건설·건축","배전반설계",1,1
"#건설·건축","비파괴검사원",1,1
"#건설·건축","공인중개사",1,1
"#고객상담·tm","CS",16,16
"#고객상담·tm","고객관리",35,35
"#고객상담·tm","상담원",3,3
"#고객상담·tm","기술상담",1,1
"#고객상담·tm","콜센터/고객센터",1,1
"#고객상담·tm","인바운드",3,3
"#고객상담·tm","아웃바운드",1,1
"#고객상담·tm","CX매니저",1,1
"#고객상담·tm","전화상담",1,1
"#공공·복지","심리치료사",3,3
"#공공·복지","사무직",56,56
"#공공·복지","평생교육사",2,2
"#공공·복지","사회복지사",5,5
"#공공·복지","병역특례",3,3
"#교육","교육운영",19,19
"#교육","평생교육사",2,2
"#교육","교육컨설턴트",4,4
"#교육","기타",19,19
"#교육","교육컨텐츠개발",13,13
"#교육","교재개발",6,6
"#교육","교육컨텐츠기획",8,8
"#교육","교수설계",2,2
"#교육","대학강사",1,1
"#교육","학원보조",1,1
"#교육","학원강사",1,1
"#교육","파트강사",1,1
"#구매·자재·물류","구매",118,118
"#구매·자재·물류","구매관리",39,39
"#구매·자재·물류","물류사무원",3,3
"#구매·자재·물류","물류관리",17,17
"#구매·자재·물류","물류기획",10,10
"#구매·자재·물류","국제물류",15,15
"#구매·자재·물류","재고관리",22,22
"#구매·자재·물류","품질관리",68,68
"#구매·자재·물류","자재관리",26,26
"#구매·자재·물류","SCM",10,10
"#구매·자재·물류","구매기획",11,11
"#구매·자재·물류","유통관리",7,7
"#구매·자재·물류","창고관리",4,4
"#구매·자재·물류","기타",5,5
"#구매·자재·물류","포워더",9,9
"#구매·자재·물류","SRM",1,1
"#구매·자재·물류","보세사",1,1
"#금융·보험","기타",16,16
"#금융·보험","보험심사",2,2
"#금융·보험","손해사정사",2,2
"#금융·보험","펀드매니저",1,1
"#금융·보험","금융사무",2,2
"#금융·보험","보험상품개발",1,1
"#금융·보험","텔러",1,1
"#금융·보험","금융상품영업",2,2
"#기획·전략","기획",428,428
"#기획·전략","사업기획",83,83
"#기획·전략","전략기획",49,49
"#기획·전략","경영기획",54,54
"#기획·전략","서비스기획",30,30
"#기획·전략","광고기획",15,15
"#기획·전략","브랜드기획",19,19
"#기획·전략","PM(프로젝트매니저)",17,17
"#기획·전략","PO(프로덕트오너)",2,2
"#기획·전략","마케팅기획",58,58
"#기획·전략","상품기획",65,65
"#기획·전략","COO",1,1
"#기획·전략","교육기획",15,15
"#기획·전략","컨설턴트",27,27
"#기획·전략","기타",19,19
"#기획·전략","출판기획",6,6
"#기획·전략","행사기획",11,11
"#기획·전략","PL(프로젝트리더)",7,7
"#기획·전략","웹기획",9,9
"#기획·전략","기술기획",7,7
"#기획·전략","IT컨설팅",7,7
"#기획·전략","인사기획",26,26
"#기획·전략","앱기획",5,5
"#기획·전략","CEO",1,1
"#기획·전략","PMO",2,2
"#기획·전략","CSO",1,1
"#기획·전략","법인장",1,1
"#기획·전략","문화기획",5,5
"#디자인","북디자인",3,3
"#디자인","모바일디자인",2,2
"#디자인","배너디자인",4,4
"#디자인","광고디자인",8,8
"#디자인","시각디자인",16,16
"#디자인","디지털디자인",7,7
"#디자인","그래픽디자인",15,15
"#디자인","로고디자인",3,3
"#디자인","앱디자인",5,5
"#디자인","브랜드디자인",8,8
"#디자인","문구디자인",3,3
"#디자인","의상디자인",5,5
"#디자인","섬유디자인",3,3
"#디자인","잡화디자인",1,1
"#디자인","기타",9,9
"#디자인","공간디자인",2,2
"#디자인","건축디자인",1,1
"#디자인","산업디자인",7,7
"#디자인","편집디자인",5,5
"#디자인","가구디자인",1,1
"#디자인","웹디자인",9,9
"#디자인","컬러리스트",2,2
"#디자인","일러스트레이터",4,4
"#디자인","UI/UX디자인",10,10
"#디자인","표지디자인",1,1
"#디자인","캐릭터디자인",2,2
"#디자인","패턴디자인",2,2
"#디자인","콘텐츠디자인",4,4
"#디자인","패키지디자인",3,3
"#디자인","영상디자인",3,3
"#디자인","BX디자인",2,2
"#디자인","완구디자인",3,3
"#디자인","정보디자인",2,2
"#디자인","CI디자인",2,2
"#디자인","공예디자인",3,3
"#디자인","자동차디자인",1,1
"#디자인","VMD",2,2
"#디자인","전시디자인",1,1
"#디자인","BI디자인",1,1
"#디자인","AD(아트디렉터)",3,3
"#디자인","컨셉디자인",2,2
"#디자인","주얼리디자인",2,2
"#디자인","패브릭디자인",1,1
"#디자인","애니메이터",1,1
"#마케팅·홍보·조사","마케팅",171,171
"#마케팅·홍보·조사","마케팅기획",58,58
"#마케팅·홍보·조사","광고마케팅",21,21
"#마케팅·홍보·조사","홍보",135,135
"#마케팅·홍보·조사","AE(광고기획자)",10,10
"#마케팅·홍보·조사","미디어플래너",3,3
"#마케팅·홍보·조사","디지털마케팅",21,21
"#마케팅·홍보·조사","마케팅전략",42,42
"#마케팅·홍보·조사","기업홍보",19,19
"#마케팅·홍보·조사","행사기획",11,11
"#마케팅·홍보·조사","기타",7,7
"#마케팅·홍보·조사","콘텐츠마케팅",20,20
"#마케팅·홍보·조사","콘텐츠기획",28,28
"#마케팅·홍보·조사","글로벌마케팅",17,17
"#마케팅·홍보·조사","오프라인마케팅",7,7
"#마케팅·홍보·조사","온라인마케팅",22,22
"#마케팅·홍보·조사","바이럴마케팅",12,12
"#마케팅·홍보·조사","브랜드마케팅",19,19
"#마케팅·홍보·조사","AM(어카운트매니저)",3,3
"#마케팅·홍보·조사","제휴마케팅",3,3
"#마케팅·홍보·조사","모바일마케팅",4,4
"#마케팅·홍보·조사","인플루언서마케팅",12,12
"#마케팅·홍보·조사","콘텐츠에디터",10,10
"#마케팅·홍보·조사","프로덕트마케팅",2,2
"#마케팅·홍보·조사","CRM마케팅",2,2
