cluster_id,size,keywords
0,51,"채용, 신입사원, 모집, 신입, 채용공고, 상반기, 사원, 공고, 신입/경력, 및"
1,45,"#디자인, 디자이너, 채용, #그래픽디자인, #시각디자인, 모집, #산업디자인, 신입/경력, #3d디자인, #ui/ux디자인"
2,71,"#회계·세무·재무, #회계, 채용, #재무, #재무회계, #세무회계, 모집, #관리회계, #법인결산, #기업회계"
3,17,"#it개발·데이터, #기획·전략, #데이터분석가, #ai(인공지능), #데이터분석, #데이터엔지니어, 채용, #머신러닝, #python, #빅데이터"
4,78,"채용, #생산, #품질관리, #품질보증, #qc, 모집, #품질분석, #qa, 신입사원, #연구·r&d"
5,295,"#영업·판매·무역, 채용, 모집, #구매·자재·물류, #영업, #영업관리, #영업직, #거래처관리, 신입사원, #기술영업"
6,65,"#it개발·데이터, 개발자, 채용, #프론트엔드, #백엔드/서버개발, #웹개발, #java, #s/w, 모집, #생산"
7,29,"채용, #it개발·데이터, #정보보안, #보안관제, #보안컨설팅, #네트워크, 신입, 신입사원, #유지보수, #정보통신"
8,26,"#상품기획·md, #기획md, 채용, #영업·판매·무역, #매장관리, #영업관리, #기획·전략, 모집, #마케팅·홍보·조사, #상품기획"
9,19,"제2차, 위촉직, 채용, 2025년, #r&d, #r&d기획, #동물실험, #생명과학, #의료기기연구, #제약/바이오"
10,22,"2025년, #기획·전략, 채용, #총무·법무·사무, 제2차, #사무행정, 위촉직, #사업기획, 2차, 직원(계약직)"
11,19,"#교육, #교육컨텐츠개발, #교육컨텐츠기획, #교육운영, #기획·전략, #교육기획, #교재개발, #인사·노무·hrd, 채용, 및"
12,94,"채용, #총무·법무·사무, #인사·노무·hrd, #사무행정, #사무직, 모집, #인사, #사무보조, #총무, 직원"
13,28,"#연구·r&d, 모집, #r&d, 연구원, #식품연구, 채용, #화장품, #제약/바이오, #시료분석, #임상시험"
14,64,"채용, 모집, #r&d, 연구원, #기술연구, #연구·r&d, #r&d기획, #신소재, 공고, 신입"
15,75,"#기획·전략, #사업기획, 채용, #전략기획, #기획, #경영기획, #신사업기획, #사업관리, #시장조사, 모집"
16,60,"#생산, 채용, #생산관리, #공정관리, #생산기술, 모집, 신입, 생산관리, 사원, #제조"
17,19,"채용, 자동차, #생산, 자동차부품, 부품, 담당자, #자동차, #r&d기획, 모집, #기술연구"
18,17,"#미디어·문화·스포츠, #기획·전략, #마케팅·홍보·조사, #영상제작, #콘텐츠기획, 채용, pd, 영상, #pd/ad/fd, 인턴"
19,53,"#마케팅·홍보·조사, #마케팅, #마케팅기획, 채용, #마케팅전략, #광고마케팅, #온라인마케팅, #브랜드마케팅, 마케팅, #디지털마케팅"
20,24,"#생산, 채용, #기계설계, #기술엔지니어, #기구설계, #기술설계, #연구·r&d, #autocad, #r&d, #설계엔지니어"
21,60,"#건설·건축, 채용, 모집, #생산, 신입, #연구·r&d, 신입사원, #안전관리자, #토목기술자, 공고"
