group_name,num_clusters,total_docs,avg_docs_per_cluster
MD,2,42,21.0
PD,1,8,8.0
R&D,1,62,62.0
SCM,1,10,10.0
SNS마케팅,1,6,6.0
UI/UX,1,19,19.0
감사,1,22,22.0
개발,1,5,5.0
고객관리,1,35,35.0
관리,1,12,12.0
광고,1,21,21.0
교육운영,1,19,19.0
교육컨텐츠,1,14,14.0
구매,1,76,76.0
구조,1,49,49.0
기사,1,11,11.0
기술,1,37,37.0
기술영업,1,45,45.0
기타,2,264,132.0
기획,1,185,185.0
노무,1,11,11.0
데이터,1,55,55.0
마케팅,1,111,111.0
무역,1,15,15.0
문화기획,1,5,5.0
물류,2,53,26.5
백엔드,1,30,30.0
법무,1,36,36.0
보안,1,25,25.0
복지,1,5,5.0
브랜드,1,8,8.0
블로그마케팅,1,6,6.0
비서,1,10,10.0
사무,2,50,25.0
산업,1,12,12.0
생산관리,1,188,188.0
설계,2,136,68.0
세무,1,5,5.0
솔루션기술영업,1,5,5.0
시각디자인,1,24,24.0
시스템,1,28,28.0
식품/음료영업,1,5,5.0
안전,1,20,20.0
앱기획,1,5,5.0
에디터,1,10,10.0
영업,2,176,88.0
운송,1,5,5.0
운전,1,14,14.0
유통관리,1,7,7.0
의료진,1,6,6.0
인사,1,44,44.0
자동제어,1,10,10.0
자동화설계,1,11,11.0
자재,1,34,34.0
재무,1,53,53.0
전기제어,1,12,12.0
전자제어,1,8,8.0
전장설계,1,5,5.0
제약,1,19,19.0
제조,1,32,32.0
제조가공,1,6,6.0
채용,1,11,11.0
총무,1,42,42.0
컨설팅,2,34,17.0
컴플라이언스,1,5,5.0
콘텐츠,2,32,16.0
크리에이터,1,24,24.0
토목,1,26,26.0
퍼포먼스마케팅,1,6,6.0
포워더,1,9,9.0
품질,1,37,37.0
품질관리,2,80,40.0
프로젝트관리,1,19,19.0
프론트엔드,1,39,39.0
해외영업,1,57,57.0
홍보,1,99,99.0
화장품영업,1,6,6.0
환경,1,12,12.0
회계,1,64,64.0
