cluster_name,major_category,group_name,mid_categories,num_mid_categories,num_docs,representative_docs
#건설·건축_품질관리,#건설·건축,품질관리,"QA, QC",2,32,"50285218, 50422954, 50289795"
#건설·건축_설계,#건설·건축,설계,"설계엔지니어, 3D설계, 전기설계, 토목설계",4,44,"50200247, 50320797, 50157118"
#건설·건축_안전,#건설·건축,안전,"안전관리자, 안전보건관리자, 보건관리자",3,20,"50500403, 50439730, 50439778"
#건설·건축_환경,#건설·건축,환경,"대기환경기사, 환경관리자",2,12,"50500403, 50291609, 50498553"
#건설·건축_기사,#건설·건축,기사,"전기기사, 기계기사",2,11,"50439917, 50472899, 50214448"
#건설·건축_토목,#건설·건축,토목,"토목기술자, 토목설계, 공무",3,26,"50347918, 50482140, 50381088"
#건설·건축_기타,#건설·건축,기타,목공,1,7,"50121482, 50097077, 50492479"
#it개발·데이터_백엔드,#it개발·데이터,백엔드,백엔드/서버개발,1,30,"50019470, 50198922, 50361285"
#it개발·데이터_프론트엔드,#it개발·데이터,프론트엔드,"프론트엔드, 웹개발, 앱개발",3,39,"49129549, 50375286, 50443629"
#it개발·데이터_데이터,#it개발·데이터,데이터,"데이터엔지니어, 데이터 사이언티스트, 데이터분석가, BI 엔지니어",4,55,"50395301, 50436489, 50281661"
#it개발·데이터_보안,#it개발·데이터,보안,"정보보안, 보안관제, 보안컨설팅",3,25,"50472437, 50518274, 50043333"
#it개발·데이터_컨설팅,#it개발·데이터,컨설팅,IT컨설팅,1,7,"50416124, 50433790, 50472507"
#it개발·데이터_시스템,#it개발·데이터,시스템,"SE(시스템엔지니어), 기술지원, 유지보수",3,28,"50472437, 50262062, 50219608"
#it개발·데이터_개발,#it개발·데이터,개발,SI개발,1,5,"50374649, 50347352, 50030527"
#생산_품질관리,#생산,품질관리,"QA, QC, 품질관리",3,48,"50285218, 50422954, 50289795"
#생산_설계,#생산,설계,"설계엔지니어, 기계설계, 기구설계, 기술설계, 제품설계, 생산설계, 공정설계, 회로설계, 금형설계, 부품설계, 시스템설계",11,92,"50200247, 50428183, 50061763"
#생산_생산관리,#생산,생산관리,"생산, 생산관리, 생산기술, 공정관리, 공정엔지니어",5,188,"50200247, 50386009, 50491621"
#생산_구조,#생산,구조,구조해석/설계,1,49,"50458379, 50345855, 50394669"
#생산_제조,#생산,제조,제조,1,32,"50273264, 50472668, 50207616"
#생산_기술,#생산,기술,"기술엔지니어, PSM",2,37,"50500403, 50439730, 50291609"
#기획·전략_기획,#기획·전략,기획,"기획, 사업기획, 상품기획, 마케팅기획, 경영기획, 전략기획, 서비스기획, 인사기획, 브랜드기획, 광고기획, 교육기획, 행사기획, 웹기획, 기술기획, 출판기획",15,185,"50143933, 50301656, 43681382"
#기획·전략_프로젝트관리,#기획·전략,프로젝트관리,"PM(프로젝트매니저), PL(프로젝트리더)",2,19,"50495937, 50427006, 50018358"
#기획·전략_컨설팅,#기획·전략,컨설팅,"컨설턴트, IT컨설팅",2,27,"50235727, 50315670, 50196711"
#마케팅·홍보·조사_마케팅,#마케팅·홍보·조사,마케팅,"마케팅, 마케팅기획, 마케팅전략, 온라인마케팅, 광고마케팅, 디지털마케팅, 콘텐츠마케팅, 브랜드마케팅, 글로벌마케팅, 바이럴마케팅, 인플루언서마케팅, 오프라인마케팅, B2B마케팅",13,111,"50157606, 50223181, 49449606"
#마케팅·홍보·조사_홍보,#마케팅·홍보·조사,홍보,"홍보, 기업홍보",2,99,"50427999, 50348766, 50065652"
#마케팅·홍보·조사_콘텐츠,#마케팅·홍보·조사,콘텐츠,"콘텐츠기획, 콘텐츠에디터",2,27,"50273155, 50301188, 50171061"
#마케팅·홍보·조사_광고,#마케팅·홍보·조사,광고,"AE(광고기획자), 행사기획",2,21,"50427999, 50065652, 50385668"
#디자인_시각디자인,#디자인,시각디자인,"시각디자인, 그래픽디자인, 광고디자인",3,24,"50426113, 50347782, 50202615"
#디자인_UI/UX,#디자인,UI/UX,"UI/UX디자인, 웹디자인, 앱디자인, 디지털디자인",4,19,"50013358, 50381215, 50418029"
#디자인_브랜드,#디자인,브랜드,브랜드디자인,1,8,"50416138, 50381215, 50013358"
#디자인_콘텐츠,#디자인,콘텐츠,편집디자인,1,5,"50426113, 50472427, 50381215"
#디자인_산업,#디자인,산업,"산업디자인, 의상디자인",2,12,"50483412, 50305051, 50296008"
#영업·판매·무역_영업,#영업·판매·무역,영업,"영업, 영업관리, 영업직, 영업기획, 영업전략, 영업지원, 영업마케팅, 영업판촉",8,165,"50344689, 50473655, 50215008"
#영업·판매·무역_해외영업,#영업·판매·무역,해외영업,"해외영업, 해외시장개척, 해상무역",3,57,"50407148, 50207568, 50344689"
#영업·판매·무역_기술영업,#영업·판매·무역,기술영업,"기술영업, 장비영업, 의료기기영업",3,45,"50461665, 50349717, 50382389"
#영업·판매·무역_제약,#영업·판매·무역,제약,"제약영업, 무역MR",2,19,"50256896, 50294758, 50268370"
#영업·판매·무역_MD,#영업·판매·무역,MD,영업MD,1,10,"50500685, 50484433, 50511734"
#영업·판매·무역_무역,#영업·판매·무역,무역,"의류무역, 포워더",2,15,"50401018, 50346142, 50368386"
#구매·자재·물류_구매,#구매·자재·물류,구매,"구매, 구매관리, 구매기획",3,76,"50395301, 50395313, 50424918"
