major_category,num_clusters,total_docs,unique_docs,avg_docs_per_cluster,num_groups
#it개발·데이터,7,189,118,27.0,7
#건설·건축,7,152,121,21.71,7
#고객상담·tm,1,35,35,35.0,1
#공공·복지,2,30,26,15.0,2
#교육,2,33,25,16.5,2
#구매·자재·물류,7,204,122,29.14,7
#기획·전략,5,241,190,48.2,5
#디자인,5,68,40,13.6,5
#마케팅·홍보·조사,7,276,113,39.43,7
#미디어·문화·스포츠,3,42,40,14.0,3
#상품기획·md,1,32,32,32.0,1
#생산,12,498,222,41.5,12
#연구·r&d,1,62,62,62.0,1
#영업·판매·무역,9,327,170,36.33,9
#운전·운송·배송,3,41,34,13.67,3
#의료,3,29,29,9.67,3
#인사·노무·hrd,4,323,300,80.75,4
#총무·법무·사무,5,118,64,23.6,5
#회계·세무·재무,4,144,67,36.0,4
