major_category,mid_category,size,representative_count,rec_ids
"#it개발·데이터","기타",140,3,"50089878,50033556,50080387"
"#it개발·데이터","BI 엔지니어",51,3,"50269346,50292450,50295480"
"#it개발·데이터","백엔드/서버개발",32,3,"50219608,50222673,50030527"
"#it개발·데이터","웹개발",32,3,"50269346,50019470,50347352"
"#it개발·데이터","프론트엔드",21,3,"50443629,49129549,50269346"
"#it개발·데이터","데이터엔지니어",21,3,"50374748,50475103,50219608"
"#it개발·데이터","정보보안",20,3,"50222673,50262948,50395660"
"#it개발·데이터","앱개발",14,3,"50269346,50347352,50374649"
"#it개발·데이터","유지보수",14,3,"50219608,50262062,50401406"
"#it개발·데이터","데이터 사이언티스트",13,3,"50425913,50462359,50498765"
"#it개발·데이터","데이터분석가",13,3,"50430123,50462359,50425885"
"#it개발·데이터","SE(시스템엔지니어)",11,3,"50347352,50309748,50030527"
"#it개발·데이터","보안관제",11,3,"50043333,50262948,50491307"
"#it개발·데이터","보안컨설팅",10,3,"50406784,50262948,50395660"
"#it개발·데이터","IT컨설팅",7,3,"50498765,50433790,50416124"
"#it개발·데이터","기술지원",7,3,"50262062,50461698,50232096"
"#it개발·데이터","SI개발",5,3,"50347352,50374649,50030527"
"#it개발·데이터","QA/테스터",3,3,"50348081,50474300,50282044"
"#it개발·데이터","ICT컨설팅",3,3,"50416124,50460599,50506251"
"#it개발·데이터","퍼블리셔",2,2,"50508527,50299131"
"#it개발·데이터","DBA",2,2,"50395836,50369244"
"#it개발·데이터","개발PM",2,2,"50417684,50495937"
"#it개발·데이터","FAE",1,1,"50417684"
"#it개발·데이터","웹마스터",1,1,"50456906"
"#건설·건축","QA",28,3,"50210446,50055702,50417932"
"#건설·건축","QC",27,3,"50043812,50314015,50317621"
"#건설·건축","설계엔지니어",25,3,"50157118,50320336,50345855"
"#건설·건축","기타",22,3,"50404972,50405640,50201468"
"#건설·건축","안전관리자",17,3,"50484257,50254007,50152256"
"#건설·건축","공무",14,3,"50075751,50482140,50381088"
"#건설·건축","3D설계",12,3,"50270873,50357892,50171838"
"#건설·건축","보건관리자",12,3,"50414201,50462198,50462805"
"#건설·건축","안전보건관리자",11,3,"50414201,50462198,50462805"
"#건설·건축","토목기술자",10,3,"50097077,50075751,50500049"
"#건설·건축","전기설계",10,3,"50509511,50338857,50439917"
"#건설·건축","토목설계",9,3,"50075751,50302590,50032398"
"#건설·건축","목공",7,3,"50075751,50097077,50498278"
"#건설·건축","대기환경기사",7,3,"50427826,50279435,50462198"
"#건설·건축","전기기사",7,3,"50389806,50294225,50152256"
"#건설·건축","환경관리자",6,3,"50427826,50332339,50411996"
"#건설·건축","기계기사",5,3,"50472899,50214448,50085671"
"#건설·건축","건축기사",4,3,"50436212,50100943,50382609"
"#건설·건축","토양환경기사",4,3,"50427826,50279435,50092989"
"#건설·건축","수질환경기사",4,3,"50427826,50279435,50092989"
"#건설·건축","2D설계",4,3,"50171838,50338857,50139638"
"#건설·건축","현장기사",3,3,"50075751,50379974,50507445"
"#건설·건축","공조냉동기사",3,3,"50214448,50302911,50428440"
"#건설·건축","감리원",3,3,"50436212,50378785,50417481"
"#건설·건축","CM(건설사업관리)",3,3,"50379974,50436212,50378785"
"#건설·건축","시공기사",2,2,"50075751,50405294"
"#건설·건축","통신설계",2,2,"50517754,50085671"
"#건설·건축","분양상담사",2,2,"50177271,50506855"
"#건설·건축","도시설계",2,2,"50238216,50382609"
"#건설·건축","배관설계",2,2,"50256876,50410722"
"#건설·건축","보일러기사",2,2,"50472899,50302911"
"#건설·건축","건축구조설계",2,2,"50320336,50410722"
"#건설·건축","현장관리자",2,2,"50379974,50507445"
"#건설·건축","전산/기술직",2,2,"50482140,50427647"
"#건설·건축","설계보조",1,1,"50320336"
"#건설·건축","건설경리",1,1,"50358515"
"#건설·건축","지역개발컨설팅",1,1,"50367273"
"#건설·건축","조경설계",1,1,"50382609"
"#건설·건축","다기능공",1,1,"50405294"
"#건설·건축","시공관리자",1,1,"50405294"
"#건설·건축","환경설계",1,1,"50410722"
"#건설·건축","산림설계",1,1,"50424595"
"#건설·건축","폐기물처리기사",1,1,"50427826"
"#건설·건축","가스기능사",1,1,"50428440"
"#건설·건축","건축가",1,1,"50436212"
"#건설·건축","배전반설계",1,1,"50439917"
"#건설·건축","비파괴검사원",1,1,"50442612"
"#건설·건축","공인중개사",1,1,"50506855"
"#고객상담·tm","고객관리",35,3,"50430158,50416843,50354861"
"#고객상담·tm","CS",16,3,"50268370,50511751,50443318"
"#고객상담·tm","상담원",3,3,"50299921,50110867,50499769"
"#고객상담·tm","인바운드",3,3,"50511751,50458813,50499769"
"#고객상담·tm","기술상담",1,1,"50232096"
"#고객상담·tm","콜센터/고객센터",1,1,"50299921"
"#고객상담·tm","아웃바운드",1,1,"50499769"
"#고객상담·tm","CX매니저",1,1,"50499769"
"#고객상담·tm","전화상담",1,1,"50506855"
"#공공·복지","사무직",56,3,"50281842,50284306,50316497"
"#공공·복지","사회복지사",5,3,"50436511,50146896,50264741"
"#공공·복지","심리치료사",3,3,"50146896,50264741,50018158"
"#공공·복지","병역특례",3,3,"50340994,50270615,50369244"
"#공공·복지","평생교육사",2,2,"50505359,50018158"
"#교육","교육운영",19,3,"50145300,50138185,50505744"
"#교육","기타",19,3,"50436437,50382540,50237773"
"#교육","교육컨텐츠개발",13,3,"50055856,50062661,50294552"
"#교육","교육컨텐츠기획",8,3,"50294552,50138185,50273155"
"#교육","교재개발",6,3,"50055856,50145300,50293001"
"#교육","교육컨설턴트",4,3,"50505744,50402545,50482207"
"#교육","평생교육사",2,2,"50505359,50018158"
"#교육","교수설계",2,2,"50145300,50378176"
"#교육","대학강사",1,1,"50183642"
"#교육","학원보조",1,1,"50410392"
"#교육","학원강사",1,1,"50410392"
"#교육","파트강사",1,1,"50490307"
"#구매·자재·물류","구매",118,3,"50015245,50041813,50045308"
"#구매·자재·물류","품질관리",68,3,"50043812,50072646,50172146"
"#구매·자재·물류","구매관리",39,3,"50015245,50041813,50045308"
"#구매·자재·물류","자재관리",26,3,"50326088,50372143,50275661"
"#구매·자재·물류","재고관리",22,3,"50326088,50405570,50372143"
"#구매·자재·물류","물류관리",17,3,"50405570,50462548,50042393"
"#구매·자재·물류","국제물류",15,3,"50346709,50335976,50219545"
"#구매·자재·물류","구매기획",11,3,"50485422,50340685,50345685"
"#구매·자재·물류","물류기획",10,3,"50437789,50015734,50346709"
"#구매·자재·물류","SCM",10,3,"50499769,50335976,50485422"
"#구매·자재·물류","포워더",9,3,"50337003,50341453,50346709"
"#구매·자재·물류","유통관리",7,3,"50431954,50432661,50500550"
"#구매·자재·물류","기타",5,3,"50484257,50517349,50318919"
"#구매·자재·물류","창고관리",4,3,"50243101,50424918,50280849"
"#구매·자재·물류","물류사무원",3,3,"50015734,50342198,50411510"
"#구매·자재·물류","SRM",1,1,"50485422"
"#구매·자재·물류","보세사",1,1,"50494211"
"#금융·보험","기타",16,3,"50396932,50379567,50519603"
"#금융·보험","보험심사",2,2,"50166351,50436424"
"#금융·보험","손해사정사",2,2,"50166351,50436524"
"#금융·보험","금융사무",2,2,"50354476,50443752"
